gamma_mr,gamma_mc,ie_over_iw,in_over_ie,d_ie_iw_dlog_mr,d_ie_iw_dlog_mc,d_in_ie_dlog_mr,d_in_ie_dlog_mc,det_j,abs_det_j,cond_j,good_invertibility,good_condition,good_both
0.0295,8.29,3.614544716745602,1.137771837655103,-0.022081168516905347,0.30605201956499795,-0.00432460808205907,-0.33615891285610355,0.008746336640576613,0.008746336640576613,23.644988727270455,1,0,0
0.0295,11.0,3.661963572206366,1.1009529941613163,-0.02354835450509842,0.40430177055970146,-0.003484717529037126,-0.26608072317887876,0.0076746406632793324,0.0076746406632793324,30.564876977929384,1,0,0
0.0295,14.6,3.7139214148383837,1.0723696415206394,-0.025771901474220132,0.476041768103512,-0.002937315150511101,-0.20414424298409833,0.006659470014441974,0.006659470014441974,40.36334227706018,1,0,0
0.0295,19.3,3.778196131452034,1.051108191862053,-0.028391560741189044,0.4762357109760035,-0.0025789335378689653,-0.15081694826522465,0.005510108794439778,0.005510108794439778,45.414276807750426,1,0,0
0.0295,25.6,3.8300691658420534,1.0355873319404885,-0.032464989745108815,0.3818698363533789,-0.0024428838671647643,-0.10810026773944707,0.004442337746189184,0.004442337746189184,35.66717398390941,1,0,0
0.0295,33.9,3.871617680579146,1.0246622840896222,-0.03657680001240406,0.1994244109923875,-0.0023959018471886293,-0.07549342222165885,0.003239109121524762,0.003239109121524762,14.382889760720234,1,0,0
0.0295,45.0,3.87892267202869,1.0170935159066181,-0.04070074689350084,-0.1213338329876102,-0.0024464287714249023,-0.05138559818574006,0.0017945976457607884,0.0017945976457607884,10.506031052200472,1,0,0
0.0295,59.6,3.8418852420074088,1.0120704199416768,-0.04453976785111866,-0.4726233428598435,-0.0025886714263148795,-0.033726256997326565,0.000278693114077394,0.000278693114077394,812.7234668293659,1,0,0
0.0295,79.1,3.7631469817783034,1.0088317981086774,-0.04701709261808948,-0.6405118108665283,-0.0027644890845723536,-0.0263452040841452,-0.0005320130092134655,0.0005320130092134655,776.6107347677796,1,0,0
0.0391,0.0126,3.8761255835289465,1.7656140076273181,-0.059897497615834586,-0.009609543389760196,-0.03767733003110301,-0.009534847067182703,0.00020905154172972415,0.00020905154172972415,24.788694053648847,1,0,0
0.0391,0.0168,3.8749249793184473,1.764422735880991,-0.05894748578460898,-0.009680318141566,-0.037175187287167635,-0.010451749212807343,0.00025623669823417633,0.00025623669823417633,19.695611317965927,1,0,0
